序號,行政區,院所名稱,地址,電話,語音預約
1,63000010,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,(02)27135211,
2,63000010,臺北市立聯合醫院附設松山門診部,臺北市松山區八德路四段694號,(02)27653147,
3,63000010,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,(02)27642151,
4,63000010,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,(02)27718151,
5,63000010,江崇萍小兒科診所,臺北市松山區南京東路五段251巷24弄27號1樓,(02)27632260,
6,63000010,車參薇小兒科診所,臺北市松山區八德路三段195號１樓,(02)25770101,
7,63000010,博仁綜合醫院,臺北市松山區光復北路66號,(02)25786677,
8,63000010,佑家診所,臺北市松山區八德路三段233號,(02)25785658,
9,63000010,大家好診所,臺北市松山區民生東路四段80巷11弄2號1樓,(02)27138815,
10,63000010,閎新耳鼻喉科皮膚科聯合診所,臺北市松山區八德路三段20-2號1樓,(02)25779898,
11,63000010,劉內兒科診所,臺北市松山區民生東路五段148號1樓,(02)27603922,
12,63000010,安兒康小兒專科診所,臺北市松山區敦化北路118號1樓,(02)77287688,
13,63000010,心田民生診所,臺北市松山區民生東路五段105號1樓,(02)27653039,
14,63000010,弘宇診所,臺北市松山區民權東路三段160巷2之6號,(02)27128875,
15,63000010,全煜耳鼻喉科診所,臺北市松山區復興北路73號2樓,(02)87729068,
16,63000010,吳慶南內科診所,臺北市松山區民生東路五段138號,(02)27659566,
17,63000010,宥全診所,臺北市松山區民生東路五段216號1樓,(02)27678225,
18,63000010,陳炳堅內科診所,臺北市松山區延壽街327號,(02)27637199,
19,63000010,駿昂耳鼻喉科診所,臺北市松山區八德路二段395號1樓,(02)87728086,
20,63000010,畇力診所,臺北市松山區富錦街512號1樓,(02)27659022,
21,63000010,林忠志診所,臺北市松山區南京東路五段291巷20弄3-3號,(02)27689577,
22,63000010,邱楠超診所,臺北市松山區延吉街20號1樓,(02)25702296,
23,63000010,澄東耳鼻喉科診所,臺北市松山區三民路37號,(02)27420552,
24,63000020,臺北醫學大學附設醫院,臺北市信義區吳興街252號,(02)27372181,
25,63000020,臺北市立聯合醫院附設信義門診部,臺北市信義區大道路116號1樓,(02)87804152,
26,63000020,黃啟彰診所,臺北市信義區松山路261-1號,(02)27696218,
27,63000020,張育驍診所,臺北市信義區吳興街467巷2弄6號1樓,(02)27296611,
28,63000020,明輝診所,臺北市信義區松隆路282-3號,(02)87871235,
29,63000020,林應然小兒科診所,臺北市信義區福德街75號,(02)27595328,
30,63000020,長風小兒科診所,臺北市信義區莊敬路351號,(02)27227943,
31,63000020,登瑞安診所,臺北市信義區林口街232號,(02)27265228,
32,63000020,信義邱婦產科診所,臺北市信義區虎林街198號,(02)27278275,
33,63000020,承芯耳鼻喉科診所,臺北市信義區大道路121號1樓,(02)27265025,
34,63000020,臺北產業醫診所,臺北市信義區信義路五段7號35樓,(02)81016355,
35,63000020,樂恬診所,臺北市信義區莊敬路178巷13號,(02)27206700,
36,63000020,莊敬診所,臺北市信義區莊敬路280號,(02)27589258,
37,63000020,聯合報系員工診療所,臺北市信義區忠孝東路四段559巷1號6樓,(02)27601618,
38,63000020,松仁耳鼻喉科診所,臺北市信義區松仁路231號,(02)87808580,
39,63000020,松禾診所,臺北市信義區松山路130號3樓,(02)27666738,
40,63000030,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段280號,(02)27082121,
41,63000030,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路四段10號,(02)27093600,
42,63000030,尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路二段276號,(02)23690211,
43,63000030,臺北市立聯合醫院附設大安門診部,臺北市大安區辛亥路三段15號1樓,(02)27390997,
44,63000030,中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,(02)27081166,
45,63000030,松德診所,臺北市大安區四維路170巷16號1樓,(02)27073326,
46,63000030,健華診所,臺北市大安區和平東路二段299號,(02)27072990,
47,63000030,小禾馨小兒專科診所,臺北市大安區新生南路三段4號1樓,(02)23698833,
48,63000030,家齡診所,臺北市大安區敦化南路一段191號B1,(02)27211258,
49,63000030,夏爾診所,臺北市大安區信義路四段265巷54號,(02)23255508,
50,63000030,那明珠診所,臺北市大安區和平東路三段8號,(02)27360589,
53,63000030,呂小兒科診所,臺北市大安區通化街24巷6號1樓,(02)27000708,
54,63000030,李細祥內科診所,臺北市大安區四維路198巷30弄5號,(02)27018159,
55,63000030,林繼國診所,臺北市大安區忠孝東路三段217巷1弄12號1樓,(02)27315568,
56,63000030,邱醫師診所,臺北市大安區和平東路三段288號,(02)27392696,
