序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,山型彈簧等4項採購,公開取得報價單或企劃書,財物類,11412
2,空壓機風扇等2項採購,公開取得報價單或企劃書,財物類,11412
3,液壓油採購,公開取得報價單或企劃書,財物類,11412
4,VAL256電聯車煞車碟片採購 ,經公開評選或公開徵求之限制性招標,財物類,11412
5,LED雕花燈罩頭燈總成採購,公開取得報價單或企劃書,財物類,11412
6,相位集電架採購,公開取得報價單或企劃書,財物類,11412
7,集電靴氣壓管路組採購,公開招標,財物類,11412
8,客服及行政業務等服務工作,公開招標,勞務類,11412
9,兒童新樂園電梯設備維護工作,公開招標,勞務類,11412
10,財產商業火災保險及公共意外責任險案,公開招標,勞務類,11412
11,新北投站E1多工器傳輸改善工作,公開取得報價單或企劃書,勞務類,11412
12,雙北車及西門站低壓配電盤增設自動收費雙迴路裝置工作 ,公開取得報價單或企劃書,勞務類,11412
13,淡水信義線、松山新店線OTIS及小巨蛋電(扶)梯設備維護工作,公開招標,勞務類,11412
14,動力夾頭等17項採購,經公開評選或公開徵求之限制性招標,財物類,11412
15,板南線板橋段水電及消防設備保養維護工作,公開招標,勞務類,11412
16,VAL256電聯車承樑補強及檢測工作,公開招標,勞務類,11412
17,321/341型空氣彈簧氣囊採購,公開取得報價單或企劃書,財物類,11412
18,接地碳刷採購,公開取得報價單或企劃書,財物類,11412
19,捷運全線場站油漆塗裝維護工作,公開招標,勞務類,11412
20,V型皮帶採購,公開取得報價單或企劃書,財物類,11412
21,22kV環路開關SF6氣體壓力偵測開關採購,公開取得報價單或企劃書,財物類,11412
22,避雷器(BSFNF-14-HM)採購,公開取得報價單或企劃書,財物類,11412
23,R型端子等7項採購,公開取得報價單或企劃書,財物類,11412
24,球型碳刷(幸福碰碰車)採購,公開取得報價單或企劃書,財物類,11412
25,301型集電器氣管採購,公開取得報價單或企劃書,財物類,11412
26,控制面板採購,公開取得報價單或企劃書,財物類,11412
27,PXI電源繼電器模組採購,公開取得報價單或企劃書,財物類,11412
28,PLT鼓風機風管3項採購,公開取得報價單或企劃書,財物類,11412
29,踏階鏈條等2項採購,公開招標,財物類,11412
30,驅動輪胎總成(尋寶船)採購,公開取得報價單或企劃書,財物類,11412
31,北投會館住宿早餐採購,公開取得報價單或企劃書,財物類,11412
32,電纜孔蓋防滑改善工作,公開招標,勞務類,11412
33,中強捷及松捷主變電站161kV氣體絕緣開關(GIS)大修工作,經公開評選或公開徵求之限制性招標,勞務類,11412
34,321型不銹鋼回風空調濾網等3項採購,公開取得報價單或企劃書,財物類,11412
35,松山新店線新店段空調設備保養維護工作,公開招標,勞務類,11412
36,文湖線內湖段水電及消防設備保養維護工作,公開招標,勞務類,11412
