序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,大修包等10項採購,預算金額不公開,財物類,11407
2,採購、附屬事業管理系統資料庫移轉及軟體維護工作,5799000,勞務類,11407
3,堆高機防撞防護擴充設備增設工作,705600,勞務類,11407
4,工作梯架採購,"2,640,000",財物類,11407
5,感應器後上(藍)等3項採購,預算金額不公開,財物類,11407
6,復興崗站旁步道拓寬及更新工作,4685145,勞務類,11407
7,371型滑輪組密封板等2項採購,"424,032",財物類,11407
8,文湖線256型/370型電聯車車廂標線採購,1983431,財物類,11407
9,齒輪箱-架框垂直螺栓橡膠採購,"1,155,000",財物類,11407
10,輪緣潤滑脂採購,預算金額不公開,財物類,11407
11,垂直減震器採購,"1,495,667",財物類,11407
12,捷運地下街水電及消防設備保養維護工作,"38,339,690",勞務類,11407
13,淡水新店線、板南線車站及機廠電源自動切換開關拆除工作,855626,勞務類,11407
14,增壓供給液壓油濾心等5項採購,預算金額不公開,財物類,11407
15,371型電聯車駕駛室出風口隔音棉組採購,"303,878",財物類,11407
16,臺北小巨蛋天幕看板SPU等相關設備送修工作,898380,勞務類,11407
17,音頻功率放大機等2項採購,預算金額不公開,財物類,11407
18,淡水信義線及松山新店線消防安全設備檢修申報工作,9177057,勞務類,11407
19,頂埔站三鶯線連通道通訊設備採購,"4,082,860",財物類,11407
20,彈簧墊圈等63項採購,"1,487,955",財物類,11407
21,LED 雕花燈罩頭燈總成等2項採購,預算金額不公開,財物類,11407
22,側式絕緣器磨片採購,"534,000",財物類,11407
23,行控參觀台多功能簡報室空間整修工作,"1,876,200",勞務類,11407
24,藍橘線車站、自動收費系統、行控中心、停車場及地下街服務工,"167,171,909",勞務類,11407
25,七張車班裝修工程委託規劃設計及監造工作,975719,勞務類,11407
26,紅綠線車站站務服務工作,"171,580,744",勞務類,11407
27,貓空纜車無線電系統汰換採購,21508570,財物類,11407
28,"1/2""隔離旋塞O型環維修包（301型）等93項採購",預算金額不公開,財物類,11407
29,貓空纜車轉角一站維修平台護蓋除鏽上漆及維護工作,"2,231,381",勞務類,11407
30,行政業務人力服務工作,"16,289,988",勞務類,11407
31,忠孝新生站轉乘人流看板採購,"340,988",財物類,11407
32,資訊耗材等6項採購,"959,490",財物類,11407
33,垂直減震器採購,預算金額不公開,財物類,11407
34,螺絲固定劑等15項採購,"1,470,977",財物類,11407
35,車門控制器採購,預算金額不公開,財物類,11407
36,車站廣告設備維護工作,"8,000,000",勞務類,11407
37,貓空纜車貓空站增設電梯及簡易廁所增建工程,"9,235,275",工程類,11407
38,絕緣觸控螢幕採購,預算金額不公開,財物類,11407
39,冷凝散熱風扇馬達採購,預算金額不公開,財物類,11407
40,遠端監控單元採購,1480003,財物類,11407
41,381型電聯車空調換流器採購,預算金額不公開,財物類,11407
42,活塞彈簧採購,1498833,財物類,11407
43,板南線台北車站B1大廳層鏤空區建置工程,20743582,工程類,11407
