序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,軌道養護車輛CATERPILLAR引擎檢測工作,"427,000",勞務類,11302
2,新蘆、淡水信義、松山新店線及土城延伸段行動電話機重置採購,"55,370,000",財物類,11302
3,頻譜分析儀採購,"1,218,000",財物類,11302
4,溫度濕度控制器採購,378000,財物類,11302
5,30周年實錄設計及編製採購,"1,491,000",財物類,11302
6,多用途記錄器採購,"407,000",財物類,11302
7,扭力扳手等3項採購,"375,000",財物類,11302
8,371型馬達減速機構採購,預算金額不公開,財物類,11302
9,電聯車維修工廠環氧樹脂地坪修繕工作,1482000,勞務類,11302
10,捷運場站行動裝置充電插座更新工作,757163,勞務類,11302
11,示波器採購,"213,000",財物類,11302
12,噪音量測儀採購,"388,000",財物類,11302
13,TSIS鎳氫電池等2項採購,預算金額不公開,財物類,11302
14,淡水站鋼構油漆工作,"6,035,176",勞務類,11302
15,北投會館及物業空間服務工作,"29,584,401",勞務類,11302
16,臺北小巨蛋空調、監控系統及冰上樂園空調維護工作,"26,692,787",勞務類,11302
17,新蘆線線路開關重置採購,"13,751,000",財物類,11302
18,GIT冷卻系統馬達監測主機系統(含加值應用)採購,"2,006,000",財物類,11302
19,靜電放電測定器採購,"509,000",財物類,11302
20,研磨機採購,1068000,財物類,11302
21,冷凍油採購,預算金額不公開,財物類,11302
22,耐候束線帶等8項採購,預算金額不公開,財物類,11302
23,職業安全衛生管理系統追查驗證服務工作,577500,勞務類,11302
24,捷運場站不斷電系統保養維護及電池更換工作,26246504,勞務類,11302
25,不銹鋼紮線帶等5項採購,預算金額不公開,財物類,11302
26,301型動力車接地碳刷座護蓋總成採購,預算金額不公開,財物類,11302
27,消音墊等4項採購,預算金額不公開,財物類,11302
28,鏈條油等7項採購,預算金額不公開,財物類,11302
29,煞車塊採購,預算金額不公開,財物類,11302
30,捷運淡水信義線、文湖線隔音牆及墩柱清洗維護工作,8164517,勞務類,11302
31,兒童新樂園清潔維護工作,"36,383,284",勞務類,11302
32,321型集電靴塊採購,4260000,財物類,11302
33,高運量低壓配電盤空氣斷路器第2階段重置採購,108827000,財物類,11302
34,錄影系統固態硬碟採購,預算金額不公開,財物類,11302
35,SF6氣體分析儀器租賃採購,"776,790",財物類,11302
36,窄型框式鋁合金鷹架採購,"496,000",財物類,11302
37,高運量機廠電聯車清潔工作(A-C組),"163,509,136",勞務類,11302
38,捷運復興崗站外遊具增設工作,"2,100,869",勞務類,11302
39,冷氣機採購,"15,763,000",財物類,11302
40,新蘆線及板南線OTIS電扶梯變頻器重置採購,"22,560,000",財物類,11302
41,板南線線路變壓器(23臺)及投捷主變電站內系統柴油緊急發電機,67754178,財物類,11302
42,淡水線視頻監視器重置採購,4601394,財物類,11302
43,軌道設備測試器採購,2128000,財物類,11302
44,電子多媒體顯示系統維護工作,7190805,勞務類,11302
45,新店線景美站發電機冷卻系統重置,4384825,財物類,11302
46,捷運場站水池定水位閥更新改善工作,4538495,勞務類,11302
47,貓空纜車墩柱連動機構維護及驅動輪胎基座翻修工作,6942284,勞務類,11302
48,高運量381型電聯車到站顯示器更新LCD試辦採購,24721305,財物類,11302
49,淡水信義線、中和新蘆線及板南線部分場站不斷電系統重置採購,49890000,財物類,11302
50,廣告燈箱採購,4656000,財物類,11302
51,板南線及中和新蘆線OTIS電(扶)梯及友嘉電梯設備維護工作,87981000,勞務類,11302
