序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,光電開關採購,預算金額不公開,財物類,11208
2,文湖線內湖段月台門門檻絕緣防護工作,704057,勞務類,11208
3,軌條鑽孔機水桶等15項採購,450000,財物類,11208
4,崇友電(扶)梯設備維護工作,45960000,勞務類,11208
5,無線電光纖中繼器等3項採購,預算金額不公開,財物類,11208
6,變頻器等2項採購,預算金額不公開,財物類,11208
7,煞車卡鉗襯套採購,2830000,財物類,11208
8,淡信線圓山站北側增設隔音牆及小碧潭支線隔音牆重置工程,55395279,工程類,11208
9,蓄壓瓶(叢林吼吼樹屋)採購,預算金額不公開,財物類,11208
10,溫度開關88℃等8項採購,預算金額不公開,財物類,11208
11,廣告燈片製作採購,4149586,財物類,11208
12,貓空纜車索輪組吊掛及更換工作,"8,431,861",勞務類,11208
13,旅客運送責任保險案,36217000,勞務類,11208
14,上連桿軸銷用開口銷等36項採購,388903,財物類,11208
15,文湖線內湖段及內湖機廠部份路段隔音牆塗裝工作,5214384,勞務類,11208
16,中和新蘆線蘆洲段及新莊段新北市區廠站空調設備保養維護工作,54890410,勞務類,11208
17,321/341型電聯車車廂門研磨工作,961170,勞務類,11208
18,紅綠線車站站務服務工作,137571023,勞務類,11208
19,8埠FXO模組等2項採購,預算金額不公開,財物類,11208
20,TSIS訊號轉接盒採購,預算金額不公開,財物類,11208
21,車廂空調組(水果摩天輪)採購,預算金額不公開,財物類,11208
22,板南線及松山新店線松山段配電盤系統設備保養維護工作,13991790,勞務類,11208
23,貓空纜車、臺北小巨蛋、兒童新樂園及北投會館服務工作,109810320,勞務類,11208
24,可程式邏輯控制器CPU模組等10項採購,預算金額不公開,財物類,11208
25,影像分析處理設備採購,774000,財物類,11208
26,高運量軌道承托系統維護工作,4734390,勞務類,11208
27,政府組態基準(GCB)管理系統採購案,4656000,財物類,11208
28,兒童新樂園樹蛙表演場飄雨改善工作,1413300,勞務類,11208
29,場站排水管路、爬梯、護籠、護欄、維修平台增設、地坪防水改,4931553,勞務類,11208
30,風向風速計資料回傳功能整合改善工作,266175,勞務類,11208
31,藍橘線車站站務、自動收費系統維護及行控中心服務工作,135627322,勞務類,11208
32,371型頸軸承鎖片採購,預算金額不公開,財物類,11208
33,壓力開關採購,預算金額不公開,財物類,11208
34,華捷變電站外地磚更新工作,2982885,勞務類,11208
35,兒童新樂園供電設備檢驗及維護工作,2187263,勞務類,11208
36,M8防鬆墊圈等15項採購,287000,財物類,11208
37,溫度開關88℃等8項採購,預算金額不公開,財物類,11208
38,漂白水清潔劑等14項採購,305183,財物類,11208
39,321/341型電聯車電子電路板修護工作,3151851,勞務類,11208
40,直抗搖桿下軸襯採購,4337000,財物類,11208
41,貓空纜車營運服務工作,14750672,勞務類,11208
42,煞車卡鉗襯套採購,2830000,財物類,11208
43,高運量漸變軌製作工作,530712,勞務類,11208
44,白色背景漆等2項採購,預算金額不公開,財物類,11208
45,鎖匣組等2項採購,預算金額不公開,財物類,11208
46,遮蔽紙膠帶等90項採購,1498100,財物類,11208
47,主動啟動裝置組採購,預算金額不公開,財物類,11208
48,廣告燈片製作採購,4149586,財物類,11208
49,文湖線門型淨空架增設工作,407254,勞務類,11208
50,8埠FXO模組等2項採購,預算金額不公開,財物類,11208
51,旅客指示器採購,320000,財物類,11208
52,預熱噴嘴含專用手把採購,預算金額不公開,財物類,11208
53,電容採購,預算金額不公開,財物類,11208
54,自動排水器採購,預算金額不公開,財物類,11208
55,電子聯結器作動缸總成採購,預算金額不公開,財物類,11208
56,醫護用品及耗材採購,9764988,財物類,11208
57,車底攝影機採購,220500,財物類,11208
58,碳盤查及產品碳足跡盤查委託專業服務工作,2467500,勞務類,11208
59,液晶螢幕等3項採購,290000,財物類,11208
60,不鏽鋼紗網等11項採購,598122,財物類,11208
61,油氣分離器採購,預算金額不公開,財物類,11208
62,捷運場站給污排水系統設備檢修工作,9800000,勞務類,11208
63,捷運劍潭站轉乘設施空間活化及多元服務建置案工程,3387370000,工程類,11208
64,淡信線圓山站北側增設隔音牆及小碧潭支線隔音牆重置工程,55395279,工程類,11208
65,2023節慶燈飾布置案,8500000,勞務類,11208
66,崇友電(扶)梯設備維護工作,45960000,勞務類,11208
67,高運量軌道承托系統維護工作,4734390,勞務類,11208
68,貓空纜車、臺北小巨蛋、兒童新樂園及北投會館服務工作,109810320,勞務類,11208
69,紅綠線車站站務服務工作,137571023,勞務類,11208
70,藍橘線車站站務、自動收費系統維護及行控中心服務工作,135627322,勞務類,11208
