序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,兒童新樂園電梯設備維護工作,"3,100,000",勞務類,11212
2,自行車架增設及更新採購,"696,521",財物類,11212
3,定速開關電纜等3項採購,預算金額不公開,財物類,11212
4,捷運松山新店線及板南線隧道檢測工作,"35,993,524",勞務類,11212
5,文湖線及貓空纜車通訊設備維護工作,"2,873,430",勞務類,11212
6,電纜中間接續處理套件等2項採購,預算金額不公開,財物類,11212
7,V型皮帶採購,預算金額不公開,財物類,11212
8,機房地坪改善工作,"1,451,200",勞務類,11212
9,龍年生肖紀念車票組製作採購,"766,077",財物類,11212
10,車門旁通開關採購,預算金額不公開,財物類,11212
11,票卡置放平台等3項採購,"577,920",財物類,11212
12,370型電聯車推進馬達避震座等2項採購,預算金額不公開,財物類,11212
13,301型集電靴塊採購,預算金額不公開,財物類,11212
14,纜車車廂大景觀窗等3項採購,"464,625",財物類,11212
15,微動開關採購,預算金額不公開,財物類,11212
16,出站讀卡機控制板採購,預算金額不公開,財物類,11212
17,影印機租賃採購,"9,087,750",財物類,11212
18,滾珠軸承等7項採購,預算金額不公開,財物類,11212
19,閥等56項採購,預算金額不公開,財物類,11212
20,南港、文湖線土建設施維護工作,"11,827,259",勞務類,11212
21,齒輪箱軸襯採購,預算金額不公開,財物類,11212
22,輔助桿用曲柄等4項採購,"409,658",財物類,11212
23,22吋液晶顯示器等2項採購,"232,491",財物類,11212
24,絕緣漆等2項採購,預算金額不公開,財物類,11212
25,北投機廠攝影機增設工作,"654,208",勞務類,11212
26,通行邏輯控制板等3項採購,預算金額不公開,財物類,11212
27,財產商業火災保險及公共意外責任險案,"13,277,000",勞務類,11212
28,電(扶)梯機坑排水改善工作,"1,487,000",勞務類,11212
29,370型電聯車車門銅軸套本體修復工作,"963,312",勞務類,11212
30,擴充網路卡等6項採購,預算金額不公開,財物類,11212
31,網路交換器等3項採購,預算金額不公開,財物類,11212
32,申瑞電梯設備維護工作,"2,111,000",勞務類,11212
33,捷運系統全路網及地下街之資訊圖等標誌更新採購(A-F組),"13,579,530",財物類,11212
34,通訊監視系統維護工作,"6,228,600",勞務類,11212
35,手提乾粉滅火器(蓄壓式ABC-20型)採購,"8,251,425",財物類,11212
36,主機採購,預算金額不公開,財物類,11212
37,客服及遺失物等業務服務工作,"9,337,163",勞務類,11212
38,捷運車站及權管範圍清潔維護工作(A-C組),"1,212,930,261",勞務類,11212
