序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,移動式側吹扇採購,"1,072,000",財物類,11403
2,鎳鎘電池清運工作,"426,825",勞務類,11403
3,合成樹脂止滑條等2項採購 ,預算金額不公開,財物類,11403
4,軍規接頭等2項採購,預算金額不公開,財物類,11403
5,空調可程式邏輯控制器等2項採購,預算金額不公開,財物類,11403
6,供電設備高壓絕緣礙子清洗工作,"845,250",勞務類,11403
7,內湖機廠室外消防栓箱等3項採購,"1,244,463",財物類,11403
8,ACB投入線圈等4項採購,預算金額不公開,財物類,11403
9,貓空纜車動物園站KONE電扶梯控制組件改善工作,"2,482,900",勞務類,11403
10,空氣壓縮機公轉子非驅動端軸承等2項採購,預算金額不公開,財物類,11403
11,行控中心廣播系統管理控制單元採購,預算金額不公開,財物類,11403
12,層狀環採購,預算金額不公開,財物類,11403
13,充電機異常信號偵測模組等2項採購,預算金額不公開,財物類,11403
14,消音墊等3項採購,預算金額不公開,財物類,11403
15,號誌辦公空間裝修工作,"511,000",勞務類,11403
16,兒童新樂園二樓座位區空間改善工作,"4,949,167",勞務類,11403
17,電腦及周邊設備等13項採購,"20,229,160",財物類,11403
18,鎢鋼滾磨刀等6項採購 ,"245,637",財物類,11403
19,淡水新店中和線通信介面控制器及可程式控制器重置工程,"45,602,000",工程類,11403
20,蘆洲站至三重國小站及迴龍站至台北橋站水電系統設備保養維護,"21,127,496",勞務類,11403
21,電器用品採購,"1,361,900",財物類,11403
22,密封閥門等3項採購,預算金額不公開,財物類,11403
23,371型空氣壓縮機轉子軸封採購,預算金額不公開,財物類,11403
24,PLT箱散熱馬達座等2項採購,預算金額不公開,財物類,11403
25,新蘆線月台門PSC工作站重置採購,"16,661,000",財物類,11403
26,摺疊防焰椅等2項採購,"4,992,792",財物類,11403
27,三度空間儀器採購,"1,088,000",財物類,11403
28,上蓋面板等2項採購,"2,777,250",財物類,11403
29,文湖線256型電聯車傳動軸重置採購,"14,107,988",財物類,11403
30,工程救險車採購 ,"1,990,000",財物類,11403
31,多用途記錄器採購,"304,000",財物類,11403
32,頸軸承潤滑油採購,預算金額不公開,財物類,11403
33,接觸器採購,預算金額不公開,財物類,11403
34,捷運心中山南段啟用開幕活動案,"3,500,000",勞務類,11403
35,臺北小巨蛋冷卻水塔散熱設備採購,"11,195,248",財物類,11403
36,古亭、中正紀念堂站閉路電視系統改善工作,"1,425,600",勞務類,11403
37,淡水站月台上方屋簷改善工作,"9,195,293",勞務類,11403
38,貓空纜車場站除鏽上漆工作,"2,542,865",勞務類,11403
39,臺北小巨蛋除礦水設備採購,"4,522,975",財物類,11403
40,4吋研磨砂輪片等5項採購,預算金額不公開,財物類,11403
41,U2000型地下車床摩擦滾輪驅動軸軸套等5項採購,預算金額不公開,財物類,11403
42,自動到站廣播模組採購,預算金額不公開,財物類,11403
43,數據服務平台主機及軟體採購,"10,335,000",財物類,11403
44,下蓋板支架軸襯採購,預算金額不公開,財物類,11403
45,保險絲座採購,預算金額不公開,財物類,11403
46,O型環採購,預算金額不公開,財物類,11403
47,貓空纜車場站鐵捲門維護工作,"1,388,410",勞務類,11403
48,攜帶式數位無線電綜合測試儀採購,"1,601,000",財物類,11403
49,LDR差動電驛採購,預算金額不公開,財物類,11403
50,301型送風扇避震座等10項採購,"297,360",財物類,11403
51,車站指標燈箱翻修工作,"9,483,000",勞務類,11403
52,空壓機主電源軍規接頭等2項採購,預算金額不公開,財物類,11403
53,龍山寺地下街電扶梯修繕工作,"36,715,034",勞務類,11403
54,RC91工程車起重機吊臂固定位置移設改善工作,"453,689",勞務類,11403
55,公館站3號出口增設人行通道工作,"1,970,670",勞務類,11403
56,TH1&4溫度感測器等2項採購,預算金額不公開,財物類,11403
57,空壓機熱控閥閥門採購,預算金額不公開,財物類,11403
58,皮帶等28項採購,預算金額不公開,財物類,11403
59,高壓驗電棒(直流用)採購,"1,246,000",財物類,11403
60,司機員主鑰匙開關採購,預算金額不公開,財物類,11403
61,南港展覽館站防火遮煙捲幕增設工作,"929,074",勞務類,11403
62,高低壓開關等2項採購,預算金額不公開,財物類,11403
63,臺北小巨蛋冰上樂園除濕設備採購,"8,835,586",財物類,11403
64,票卡查詢機採購,"9,360,000",財物類,11403
65,行政電腦機房監控系統採購,"2,425,000",財物類,11403
66,資拓宏宇半高式月台門電磁線圈組採購,預算金額不公開,財物類,11403
67,電扶梯扶手帶重置(第1期)採購(A、B、C組),"41,250,000",財物類,11403
68,平板電腦等3項採購,"2,006,840",財物類,11403
69,301/371/381型電聯車車輪等3項採購,"73,038,876",財物類,11403
70,中山、西門及東區地下街空調箱設備更新採購,"27,923,077",財物類,11403
71,淡水信義線淡水段環控系統中央控制管理設備重置採購,"210,427,000",財物類,11403
