序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,開關盤感測器等4項採購,預算金額不公開,財物類,11308
2,頂埔站增設出入口之自動收費系統設備採購,"36,919,050",財物類,11308
3,KONE電扶梯整修工作,"19,792,000",勞務類,11308
4,錄影主機等3項採購,預算金額不公開,財物類,11308
5,中和新蘆線配電盤保養維護工作,"12,048,071",勞務類,11308
6,捷運場站軸流式及離心式風機軸承更換工作,"4,900,000",勞務類,11308
7,行控中心背投影監控(視)設備維護工作,"14,263,053",勞務類,11308
8,不鏽鋼管扶手等2項採購,"1,468,530",財物類,11308
9,電驛(R10-E1-P6-V430)採購,預算金額不公開,財物類,11308
10,捷運台北車站高鐵售票機移設工作,"556,710",勞務類,11308
11,板南線整流變壓器輪擋改善工作,"1,427,031",勞務類,11308
12,防毒面具(半面式)等18項採購,"1,398,810",財物類,11308
13,制動器採購,預算金額不公開,財物類,11308
14,冷凝風扇採購,預算金額不公開,財物類,11308
15,空氣壓縮機油氣分離器採購,預算金額不公開,財物類,11308
16,冷凝機組避震座採購,"2,335,788",財物類,11308
17,訊號擷取器採購,預算金額不公開,財物類,11308
18,煞車控制單元等2項採購,預算金額不公開,財物類,11308
19,集電器氣壓缸自潤軸承採購,預算金額不公開,財物類,11308
20,煞車中繼閥採購,預算金額不公開,財物類,11308
21,捷運南京三民站火警受信總機板件更新採購,"3,563,963",財物類,11308
22,電梯變頻器更換工作,"676,200",勞務類,11308
23,動力車接地碳刷採購,"1,499,589",財物類,11308
24,北投機廠主工廠入口廊道設計及修繕工作,"9,872,173",勞務類,11308
25,高運量371型4系列電聯車車載通訊系統重置採購,"450,077,460",財物類,11308
26,嵌入式數位子鐘等2項採購,預算金額不公開,財物類,11308
27,2024節慶燈飾布置案,"8,500,000",勞務類,11308
28,文湖線行車運轉調度輔助系統更新案,"3,700,000",勞務類,11308
29,遮蔽紙膠帶等90項採購,"1,494,594",財物類,11308
30,文湖、板南線及貓空纜車消防安全設備檢修申報工作,"9,957,629",勞務類,11308
31,文湖線木柵段水電及消防設備保養維護工作,"21,617,609",勞務類,11308
