縣市,行政區,郵遞區號,特寵業字號及有效期限,許可證登記公司名,電話,地址,營業項目,評鑑等級
臺北市,士林區,111,"V1070148-02
(2024.07.18)",岱哥寵物精品,02-2875-6869,天母西路3-1號2樓,寄養,優等
臺北市,士林區,111,"V1070166-02
(2024.07.05)","美樂蒂寵物
美容用品館","02-2816-0089
0958-119-588",延平北路五段208號1樓,"買賣
寄養",乙等
臺北市,士林區,111,"V1070204-00
(2024.09.24)",貓室友工作室,0989-935-571,文林路512-1號2樓,寄養,優等
臺北市,士林區,111,"V1080238-00
(2025.05.09)",毛小孩澡堂,02-2833-5757,忠誠路一段184號1樓,寄養,甲等
臺北市,士林區,111,"V1080240-00
(2025.05.14)",逸?有限公司,"02-2275-3990
02-2872-7333",天母東路13號,寄養,甲等
臺北市,士林區,111,"V1080243-00
(2025.06.18)",一簍毛工作室,0909-878-664,天母西路3號5樓之20,寄養,新設
臺北市,士林區,111,"V1080256-00
(2025.10.14)","花襪子的家
寵物生活館",0910-653-289,天母北路38號1樓,寄養,新設
臺北市,士林區,111,"V1080258-00
(2022.12.11)",張羅企業社,"02-2834-1296
02-2872-7333",士東路18號1樓,寄養,新設
臺北市,士林區,111,"V1100285-00
(2024.03.05)",犬貓星寵物館,0975-021-298,文林路55號1樓,買賣,新設
臺北市,士林區,111,"V1100300-00
(2024.07.29)","萬達寵物事業股份
有限公司天母分公司",02-2876-7477,天母西路12之1、12之2、12之3號,寄養,新設
臺北市,士林區,111,"V1090277-00
(2025.01.27)",麻吉寵物美容,02-2876-3325,天母東路50巷20-2號1樓,"買賣
寄養",新設
臺北市,大同區,103,"V1070176-01
(2024.05.22)","騰雨寵物國際
有限公司",02-2555-1513,華陰街73號1-3樓,寄養,優等
臺北市,大同區,103,"V1070194-01
(2024.06.16)",城市貓旅工作室,"02-2552-7056
0932-333-025",長安西路254號2樓,寄養,優等
臺北市,大同區,103,"V1080237-00
(2022.05.12)","貓小姐狗先生
寵物美容工作室",0933-943-448,環河北路二段43號1樓,寄養,甲等
臺北市,大同區,103,"V1080250-00
(2022.08.01)",謙然商行,"02-2593-0593
0918-770-774",承德路三段102號1樓,寄養,新設
臺北市,大同區,103,"V1080263-00
(2022.12.24)",洗寶貝寵物美容,02-2599-4282,重慶北路三段75號1樓,寄養,新設
臺北市,大同區,103,"V1100286-00
(2024.01.14)",樂洗狗寵物生活館,02-2556-9639,華亭街57號1樓,寄養,新設
臺北市,大同區,103,"V1090281-00
(2023.11.09)",貓僕舍寵物商行,"02-25851417
0916-104-872",重慶北路三段73號1樓,寄養,換發
臺北市,大同區,103,"V1100304-00
(2024.09.15)",皇良寵物生活館,0970-744-519,承德路二段6號1樓,"買賣
寄養",換發
臺北市,大同區,103,"V1110314-00
(2025.03.22)",連夢露寵物美容室,02-2559-6369,承德路一段83號1樓,寄養,新設
臺北市,大同區,103,"V1100305-00
(2024.09.15)",匠美澎澎寵物精品沙龍坊,02-2552-0211,雙連街39巷29號1樓,"買賣
寄養",新設
臺北市,大安區,106,"V1070104-01
(2024.07.08)",金吉旺寵物有限公司,"02-2735-9156
0933-097-072",基隆路二段104號,"買賣
寄養",優等
臺北市,大安區,106,"V1070132-01
(2024.09.16)","萬達寵物事業股份
有限公司和平分公司",02-2378-2000,和平東路三段70之3號,寄養,乙等
臺北市,大安區,106,"V1070146-01
(2024.08.13)",維樂寵物美容店,"02-2345-2233
0933-872-826",光復南路666號1樓,"買賣
寄養",乙等
臺北市,大安區,106,"V1070151-02
(2024.07.30)",禮來寵物生活館,02-2735-6877,基隆路二段144巷2號1樓,寄養,乙等
臺北市,大安區,106,"V1070189-00
(2024.07.08)",吉寵企業社,"0971-327-868
0933-914-730",基隆路二段126號1樓,"買賣
寄養",甲等
