年度,被申訴人,申訴人,協商日,爭議內容
111,空中美語文教事業股份有限公司,蔡○○,1111229,網際網路教學消費爭議
111,深境海洋國際有限公司,李○○,1111228,禮券消費爭議
111,統一超商股份有限公司,林○○,1111228,抵用金消費爭議
111,富樂台式涮涮鍋寧夏店,莊○○,1111227,餐飲不潔消費爭議
111,台灣平安夜股份有限公司,董○○,1111226,家具訂購爭議
111,全家便利商店股份有限公司,吳○○,1111226,便利超商購物消費爭議
111,新加坡商蝦皮娛樂電商有限公司,陳○○,1111226,網購消費爭議
111,沛報國際有限公司,陳○○,1111223,場地租借消費爭議
111,台灣樂線有限公司,李○○,1111222,線上遊戲爭議
111,買對股份有限公司,魏○○,1111222,代標代購服務消費爭議
111,台灣特趣互動有限公司,鍾○○,1111222,社群帳號消費爭議
111,木晨良行有限公司,鍾○○,1111221,購買珠寶消費爭議
111,林松輝(賣家),陳○○,1111221,購買機車消費爭議
111,蝦皮賣家帳號：pei791695,施○○,1111216,網購消費爭議
111,聯合澳順股份有限公司,鍾○○,1111216,購買電腦軟體消費爭議
111,蝦皮賣家帳號：zmg585858,出○○,1111216,網購消費爭議
111,日月行館開發事業股份有限公司,江○○,1111215,旅遊住宿消費爭議
111,富胖達股份有限公司,陳○○,1111214,美食外送消費爭議
111,安德國際商貿有限公司,黃○○,1111214,募資平台消費爭議
111,蝦皮賣家：彭氏國際企業有限公司(就是要玩電玩精品),韓○○,1111214,網購消費爭議
111,香港商東映動畫企業有限公司,董○○,1111214,滿額贈卡包發放爭議
111,台灣樂天市場股份有限公司,劉○○,1111213,紅利點數消費爭議
111,禾揚有限公司,劉○○,1111213,購買氣墊床組消費爭議
111,茗妍美容院即蘇裔茹,林○○,1111212,美容課程退費爭議
111,茗妍美容院即蘇裔茹,黃○○,1111212,美容課程退費爭議
111,嘖室股份有限公司,李○○,1111212,募資平台消費爭議
111,新凱汽車股份有限公司,黃○○,1111208,汽車買賣消費爭議
111,台灣三星電子股份有限公司,戴○○,1111206,電視瑕疵爭議
111,銘陽室內裝修設計有限公司,陳○○,1111205,室內裝修消費爭議
111,鎂園室內裝修設計有限公司,陳○○,1111205,室內裝修消費爭議
111,蝦皮賣家帳號：marvel871029,項○○,1111202,網購消費爭議
111,新加坡商蝦皮娛樂電商有限公司,項○○,1111202,網購消費爭議
111,單立偉（房屋出租人）,陳○○,1111201,房屋租賃消費爭議
111,嶺越國際有限公司(台越物流),阮○○,1111201,貨物運送消費爭議
111,誠盛國際車業商行,林○○,1111201,中古車買賣爭議
111,裕融車貸,林○○,1111201,中古車買賣爭議
111,綠島微風民宿,吳○○,1111130,民宿訂房消費爭議
111,齊右設計工作室,謝○○,1111130,室內設計消費爭議
111,英屬開曼群島商睿能新動力股份有限公司,莊○○,1111130,購買機車消費爭議
111,新竹物流股份有限公司,邱○○,1111130,貨物運送消費爭議
