縣市,區域,郵遞區號,狂犬病注射機構名稱,地址,電話
臺北市,中正區,100,台灣動物醫院,忠孝東路2段74號1樓,(02)23412128
臺北市,中正區,100,康廷動物醫院,和平西路2段58-1號1樓,(02)23095001
臺北市,中正區,100,中正犬貓醫院,重慶南路3段60之4號2樓,(02)23054880
臺北市,中正區,100,瀚生動物醫院,新生南路1段144之1號,(02)23581765
臺北市,中正區,100,佑昇動物醫院,羅斯福路3段38號,(02)23656729
臺北市,中正區,100,恩孺動物診所,金山南路1段92號,(02)23942821
臺北市,中正區,100,寶寶新動物醫院,南昌路1段39號,(02)23677624
臺北市,中正區,100,古亭動物醫院,羅斯福路2段138號,(02)23693373
臺北市,中正區,100,博愛動物醫院,杭州南路2段92號,(02)33938850
臺北市,中正區,100,來旺動物醫院,重慶南路3段50號1樓,(02)23051120
臺北市,中正區,100,大安動物醫院,新生南路1段162號1樓,(02)23632020
臺北市,中正區,100,綠洲動物醫院,北平東路16號1樓,(02)23912220
臺北市,大同區,103,傑翔動物醫院,民權西路270-2號,(02)25573343
臺北市,大同區,103,皇家動物醫院,民族西路228號,(02)25960967
臺北市,大同區,103,全民連鎖動物醫院總院,民生西路247、249號,(02)25530371
臺北市,大同區,103,正安動物醫院,民權西路240號,(02)25571757
臺北市,大同區,103,長沁動物醫院,承德路3段9號1樓,(02)25992119
臺北市,大同區,103,永新動物醫院,重慶北路3段185號,(02)25982889
臺北市,大同區,103,慈愛動物醫院寧夏分院,寧夏路1號1樓、3樓,(02)25563320
臺北市,大同區,103,弘愛犬貓專科醫院,民生西路105 號1樓,(02)25503892
臺北市,大同區,103,旺竹動物醫院,承德路三段142號1樓,(02)25996230
臺北市,大同區,103,大眾家畜醫院,重慶北路3段51號,(02)25861518
臺北市,大同區,103,晨光動物醫院,重慶北路2段47號1樓,(02)25583347
臺北市,中山區,104,弘安動物醫院,五常街69號,(02)25045630
臺北市,中山區,104,諾亞動物醫院,吉林路166號,(02)25642121
臺北市,中山區,104,大晶動物醫院,農安街72號,(02)25970625
臺北市,中山區,104,長宏動物醫院,吉林路173號,(02)25678939
臺北市,中山區,104,太僕動物醫院,龍江路260號1樓,(02)25170902
臺北市,中山區,104,東宏動物醫院,吉林路432號,(02)25957366
臺北市,中山區,104,廣慈動物醫院,錦州街371號,(02)25044236
臺北市,中山區,104,伊甸動物醫院,北安路554巷33號,(02)85092579
臺北市,中山區,104,復生動物醫院,民生東路一段78號,(02)25643940
臺北市,中山區,104,小王子動物醫院,松江路26巷32號,(02)25676897
臺北市,中山區,104,吉米犬貓專科醫院,林森北路649號,(02)25855991
臺北市,中山區,104,恩典動物醫院,民生東路2段45號,(02)25314545
臺北市,中山區,104,惟新動物醫院,明水路672巷34號,(02)85023725
臺北市,中山區,104,德心動物醫院,八德路2段121號,(02)25045355
臺北市,中山區,104,貝恩動物醫院,民權東路3段8號-1,(02)25015814
臺北市,中山區,104,路米動物醫院,民生東路三段28號1樓,(02)25163328
臺北市,中山區,104,沐沐特寵動物醫院,龍江路78號,(02)77137707
臺北市,中山區,104,以立動物醫院,敬業一路38號,(02)77288028
臺北市,中山區,104,凱揚動物醫院,八德路2段331號1-2樓,(02)27512218
臺北市,中山區,104,龍江獸醫院,龍江路21巷1號,(02)27722223
臺北市,中山區,104,華遠動物醫院,長春路336號,(02)27131187
臺北市,中山區,104,吉林動物醫院,吉林路121之1號,(02)25642010
臺北市,中山區,104,美加璦動物醫院,龍江路443 巷1之2號,(02)25054989
臺北市,中山區,104,大直動物醫院,北安路468號,(02)85096306
臺北市,中山區,104,紀劃犬貓專科醫院,民生東路1段83號,(02)25212205
臺北市,中山區,104,興安動物醫院,興安街89號,(02)25048179
臺北市,中山區,104,仁慈動物醫院,北安路458巷19號,(02)25336983
臺北市,中山區,104,米亞動物醫院,民權東路2段57號,(02)25923556
臺北市,中山區,104,成功動物醫院,天祥路3號1樓,(02)25218001
臺北市,中山區,104,小小貓動物醫院,朱崙街91號1樓,(02)25337529
臺北市,中山區,104,達文西犬貓專科醫院,民生東路1段85號1樓,(02)25212205
臺北市,中山區,104,集英動物醫院,長安東路一段61-1號1樓,(02)77136111
臺北市,中山區,104,安晴動物醫院,林森北路506號,(02)25217758
臺北市,中山區,104,禾芮犬貓專科醫院,明水路692號,(02)85011267
臺北市,中山區,104,皇合動物醫院,建國北路3段121號,(02)25183325
臺北市,中山區,104,國寶動物醫院,八德路2段229-2號,(02)27211798
臺北市,中山區,104,歐歐妮動物醫院,北安路627號,(02)25064662
臺北市,松山區,105,嘉慶動物醫院,八德路4段214-1號,(02)25183325
臺北市,松山區,105,隆記動物醫院,民生東路5段212巷1號,(02)27607639
臺北市,松山區,105,人人愛動物醫院,延吉街46-3號,(02)25778182
臺北市,松山區,105,豐盛動物醫院,光復北路46號,(02)25785605
臺北市,松山區,105,復興動物醫院,八德路2段381號,(02)27711414
臺北市,松山區,105,澤禾動物醫院,健康路288號,(02)27616267
臺北市,松山區,105,泰山動物醫院,光復南路52號,(02)25792650
臺北市,松山區,105,台欣動物醫院,健康路187號,(02)25285119
臺北市,松山區,105,恩亞動物醫院,健康路325巷14號,(02)27678889
臺北市,松山區,105,中山動物醫院,民權東路3段140巷5號1樓,(02)27196996
臺北市,松山區,105,南京太僕動物醫院,南京東路5段286號,(02)27562005
臺北市,松山區,105,曼哈頓動物醫院,市民大道四段77號,(02)27815203
臺北市,松山區,105,興泰動物醫院,延吉街57號,(02)25795722
臺北市,松山區,105,良醫動物醫院,八德路4段188號,(02)27615091
臺北市,松山區,105,澄諾動物醫院,富錦街461號,(02)27653160
臺北市,松山區,105,台北動物醫院,光復北路164號,(02)27176036
臺北市,松山區,105,全陽犬貓專科醫院,八德路4段305號,(02)27627945
臺北市,松山區,105,新亞動物醫院,延壽街330巷3號1樓,(02)27457119
