序號,縣市別,機構名稱,電話,地址,戒治機構模式,戒治服務內容
1,63000,臺北市立聯合醫院松德院區,(02)27263141,臺北市信義區松德路309號,藥癮戒治核心醫院,美沙冬/丁基原啡因
2,63000,臺北市立聯合醫院林森中醫昆明院區,(02)23703739,臺北市萬華區昆明街100號,藥癮戒治診所,美沙冬/美沙冬跨區給藥、丁基原啡因
3,63000,臺北市立聯合醫院仁愛院區,(02)27093600,臺北市大安區仁愛路四段10號,藥癮戒治診所,
4,63000,臺北市立聯合醫院中興院區,(02)25523234,臺北市大同區鄭州路145號,藥癮戒治診所,
5,63000,臺北市立聯合醫院忠孝院區,(02)27861288,臺北市南港區同德路87號,藥癮戒治診所,
6,63000,臺北市立聯合醫院陽明院區,(02)28353456,臺北市士林區雨聲街105號,藥癮戒治醫院,美沙冬/丁基原啡因
7,63000,臺北市立聯合醫院和平婦幼院區,(02)23889595,臺北市中華路二段33號,藥癮戒治診所,
8,63000,三軍總醫院附設民眾診療服務處,(02)87923311,臺北市內湖區成功路二段325號,藥癮戒治核心醫院,丁基原啡因
9,63000,三軍總醫院北投分院附設民眾診療服務處,(02)28959808,臺北市北投區新民路60號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
10,63000,新光醫療財團法人新光吳火獅紀念醫院,(02)28332211,臺北市士林區文昌路95號,藥癮戒治醫院,
11,63000,基督復臨安息日會醫療財團法人臺安醫院,(02)27718151,臺北市松山區八德路二段424號,藥癮戒治醫院,
12,63000,臺北市立萬芳醫院-委託財團法人臺北醫學大學辦理,(02)29307930,臺北市文山區興隆路三段111號,藥癮戒治醫院,
13,63000,國泰醫療財團法人國泰綜合醫院,(02)27082121,臺北市大安區仁愛路四段280號,藥癮戒治醫院,
14,63000,國立臺灣大學醫學院附設醫院,(02)23133456,臺北市中正區中山南路7號,藥癮戒治醫院,
15,63000,臺北市立關渡醫院,(02)28587000,臺北市北投區知行路225巷12號5樓,藥癮戒治醫院,
16,63000,臺北醫學大學附設醫院,(02)27372181,臺北市信義區吳興街252號,藥癮戒治醫院,
17,63000,慧祥診所,(02)27279817,臺北市信義區松山路484之5號,替代治療診所,丁基原啡因
18,63000,聖約翰婦產科診所,(02)23098502,臺北市萬華區東園街175號,替代治療診所,丁基原啡因
19,63000,交感身心診所,(02)77306840,臺北市大安區信義路四段 143號4樓,替代治療診所,
20,65000,衛生福利部八里療養院,(02)26101660,新北市八里區華富山33號,藥癮戒治核心醫院,美沙冬/丁基原啡因
21,65000,天主教耕莘醫療財團法人耕莘醫院,(02)22193391,新北市新店區中正路362號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
22,65000,衛生福利部樂生療養院,(02)82006600,新北市新莊區中正路794號,藥癮戒治醫院,美沙冬
23,65000,衛生福利部臺北醫院,(02)22765566,新北市新莊區思源路127號,藥癮戒治醫院,美沙冬
24,65000,新北市立聯合醫院三重院區,(02)29829111,新北市三重區新北大道一段3號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
25,65000,新北市立聯合醫院板橋院區,(02)22575151,新北市板橋區英士路198號,藥癮戒治醫院,美沙冬、美沙冬跨區給藥、丁基原啡因
26,65000,臺灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,(02)28094661,新北市淡水區民生路45號,藥癮戒治醫院,丁基原啡因
27,65000,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,(02)77282452,新北市板橋區南雅南路二段122-23號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
28,65000,國泰醫療財團法人汐止國泰綜合醫院,(02)26482121,新北市汐止區建成路59巷2號,藥癮戒治醫院,
29,65000,行天宮醫療志業醫療財團法人恩主公醫院,(02)26723456,新北市三峽區復興路399號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
30,65000,衛生福利部雙和醫院委託臺北醫學大學興建經營,(02)22490088,新北市中和區中正路291號,藥癮戒治醫院,丁基原啡因
31,65000,佛教慈濟醫療財團法人臺北慈濟醫院,(02)66289779,新北市新店區建國路289號,藥癮戒治醫院,丁基原啡因
32,65000,新北市立土城醫院委託長庚醫療財團法人興建經營,(02)22630588,新北市土城區金城路二段6號,藥癮戒治醫院,
33,65000,安興精神科診所,(02)29743029,新北市三重區重新路三段132號,藥癮戒治診所,丁基原啡因
34,65000,恆友精神科診所,(02)29907909,新北市新莊區幸福東路135號,藥癮戒治診所,
35,10017,衛生福利部基隆醫院,(02)24292525,基隆市信義區信二路268號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
36,10017,長庚醫療財團法人基隆長庚紀念醫院,(02)24313131,基隆市安樂區麥金路222號,藥癮戒治醫院,
37,10017,長庚醫療財團法人基隆長庚紀念醫院,(02)24329292,基隆市安樂區基金一路208巷200號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥
38,10017,維德醫療社團法人基隆維德醫院,(02)24696688,基隆市中正區調和街210號,藥癮戒治醫院,丁基原啡因
