統一編號,商業名稱,商業地址,變更日期,Longitude,Latitude
538337,季川足體養生會館,臺北市大同區長安西路190號1樓,1150401,121.515683,25.051113
616699,鼎豐盛越式料理店,臺北市大安區臨江街139號1樓,1150401,121.553405,25.03049
1726852,名卿商行,臺北市文山區木柵路3段14號,1150401,121.564578,24.988419
1830428,羅堯仁自營計程車,臺北市士林區芝玉路2段86號4樓,1150401,121.535246,25.112378
5171930,鍾記老店,臺北市中正區羅斯福路1段8號1樓192攤位,1150401,121.518077,25.032606
7603771,聯大當舖,臺北市文山區羅斯福路5段206之2號,1150401,121.538456,25.003086
15669058,亞宏食坊,臺北市北投區中和街242號1樓,1150401,121.501364,25.13951
17272639,良誠蔘藥行,臺北市大同區民生西路362巷24號,1150401,121.510532,25.056238
17747586,燒肉屋小吃店,臺北市中山區林森北路119巷64號,1150401,121.527359,25.050135
25536424,千富小吃店,臺北市中正區八德路1段82巷8號,1150401,121.531969,25.043762
25666896,蔬活企業社,臺北市文山區興隆路2段82號1樓,1150401,121.548259,24.999942
31855353,希潔商行,臺北市信義區忠孝東路5段442號,1150401,121.576031,25.040696
73907494,成毅書報社,臺北市萬華區青年路168巷16號1樓,1150401,121.502168,25.020448
76477638,阿德叔叔健康飲食行大安信義分店,臺北市大安區信義路3段202號1樓,1150401,121.543324,25.03318
85140164,孤僻實業工作室,臺北市萬華區漢口街2段97號9樓,1150401,121.504664,25.046272
88214409,東方菸酒行,臺北市南港區八德路4段925號1樓,1150401,121.581751,25.051368
88308320,首先叫商行,臺北市士林區社子街146巷3號1樓,1150401,121.504791,25.088422
88356125,昂杯商行,臺北市內湖區內湖路1段421號,1150401,121.57135,25.08154
88358290,人生如夢企業社,臺北市信義區光復南路569號1樓及2樓,1150401,121.557591,25.030705
88369389,天津養生館,臺北市中山區中山北路1段105巷4號1樓,1150401,121.522803,25.050799
88369705,宏霖企業社,臺北市信義區莊敬路277號1樓,1150401,121.562918,25.028995
93124343,沐晨企業社,臺北市信義區松山路532號,1150401,121.578073,25.037918
93186467,黎記小吃,臺北市松山區南京東路5段250巷9之2號,1150401,121.566018,25.049972
93188177,而今商行,臺北市信義區基隆路1段428號,1150401,121.5598,25.033822
540571,嬡囍國際企業社,臺北市內湖區陽光街92巷29號1樓,1150402,121.585142,25.076274
544197,初燒商行,臺北市中山區松江路297巷20號1樓,1150402,121.534732,25.060984
631495,野富比商行,臺北市中山區撫順街37號2樓之5,1150402,121.519586,25.063472
13847135,欣和鋁業工程行,臺北市南港區南港路3段195號,1150402,121.581117,25.051462
14742314,展源汽車保養所,臺北市士林區重慶北路4段94號1樓,1150402,121.512866,25.082464
25560789,翰倫商行,臺北市中山區南京東路3段201號10樓,1150402,121.54252,25.052091
25568656,新福園川菜餐廳,臺北市士林區至誠路2段43號,1150402,121.528628,25.101493
25571218,米嵐整體造型工作室,臺北市松山區南京東路5段163之9號1樓,1150402,121.562563,25.051884
31958560,夜樂小吃店,臺北市文山區木新路3段259號1樓,1150402,121.558302,24.981009
37889942,加州水果行,臺北市大安區四維路146號,1150402,121.547914,25.031229
42182501,日菁企業社,臺北市大同區民族西路330號,1150402,121.509563,25.068595
42354193,福聚小吃坊,臺北市大同區長安西路277號,1150402,121.51024,25.052115
48832411,西施寵物美容店,臺北市士林區福港街284號,1150402,121.517658,25.082937
50596568,球鞋誌企業社,臺北市信義區基隆路1段141號13樓之3,1150402,121.565843,25.042983
72988194,佳佳襪子店,臺北市中山區南京東路3段220號,1150402,121.543557,25.051663
