序號,機構名稱,郵遞區號,地址,電話
1,國立台灣大學醫學院附設醫院,100,臺北市中正區中山南路７、８號；常德街１號,02 23123456
2,台北站前諾貝爾眼科診所,100,臺北市中正區忠孝西路1段36號1樓,2388-5566
3,濰視眼科診所,100,臺北市中正區館前路43號(2樓),02-23816189
4,台北澄清眼科診所,100,臺北市中正區忠孝西路1段80號3樓,02-23121128
5,台北公園諾貝爾眼科診所,100,臺北市中正區公園路13號5樓,2370-5666
6,目急國際診所,100,臺北市中正區武昌街一段77號6樓之17,2312-1175
7,蔡瑞芳眼科診所,100,臺北市中正區羅斯福路一段73號(實際營業地址一層)、75號2樓,02-33938088
8,博士眼科診所,100,臺北市中正區羅斯福路二段70號4樓之6、70號4樓之7、70號4樓之8,02-23943660
9,站前大學眼科診所,100,臺北市中正區館前路8號3樓,2375-2558
10,林超群眼科診所,100,臺北市中正區重慶南路一段143號2樓,02-23122020
11,郵政醫院（委託中英醫療社團法人經營）,100,臺北市中正區福州街14號,02-23956755
12,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,100,臺北市中正區永綏街8至14號,02-23111525
13,黃眼科診所,103,臺北市大同區重慶北路三段２５６號２樓,(02) 2593-3039
14,包眼科診所,103,臺北市大同區保安街５４之１號,(02) 2553-7526
15,臺北市立聯合醫院,103,臺北市大同區鄭州路145號,2552-3234
16,台全診所,103,臺北市大同區承德路1段17之1號(1樓)、17之2號(1樓)、17之3號(1樓)、17之4號(1樓)及17號地下1層,02-25558111
17,余自興眼科診所,103,臺北市大同區重慶北路三段二一三號一樓,(02) 2595-9320
18,聚英尊爵視光眼科診所,104,臺北市中山區樂群二路173號1樓及187號2樓之1,8502-6011
19,瑞光眼科診所,104,臺北市中山區南京東路一段25號、25號2樓,2523-6949
20,北安聯合診所,104,臺北市中山區北安路569之2號 569之3號  569之4號 569之1號二 樓 569之2號二 樓 569之3號二 樓 569之4號二 樓,2533-7777
21,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,104,臺北市中山區中山北路2段92號,02-25433535
22,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,104,臺北市中山區中山北路二段９２號,(02) 2543-3535
23,柏克萊眼科診所,104,臺北市中山區明水路573號1樓,02-25330909
24,民生展欣眼科診所,104,臺北市中山區民生東路三段92號,(02)2501-7958
