序號,機構類型,機構名稱,地址,電話
1,區公所,臺北市松山區公所,臺北市松山區八德路4段692號7-10樓,(02)87878787
2,區公所,臺北市信義區公所,臺北市信義區福德街86號9-10樓,(02)27239777
3,區公所,臺北市大安區公所,臺北市大安區新生南路2段86號8-9樓,(02)23511711
4,區公所,臺北市中山區公所,臺北市中山區松江路367號1、5、6樓,(02)25031369
5,區公所,臺北市中正區公所,臺北市中正區忠孝東路1段108號8-10樓,(02)23416721
6,區公所,臺北市大同區公所,臺北市大同區昌吉街57號4樓,(02)25975323
7,區公所,臺北市萬華區公所,臺北市萬華區和平西路3段120號11樓,(02)23064468
8,區公所,臺北市文山區公所,臺北市文山區木柵路3段220號7-9樓,(02)29365522
9,區公所,臺北市南港區公所,臺北市南港區南港路1段360號2、6、8、9、10樓,(02)27831343
10,區公所,臺北市內湖區公所,臺北市內湖區民權東路6段99號4-5樓,(02)27925828
11,區公所,臺北市士林區公所,臺北市士林區中正路439號9樓,(02)28826200
12,區公所,臺北市北投區公所,臺北市北投區新市街30號4樓,(02)28912105
13,社會福利服務中心,中山社會福利服務中心,臺北市中山區合江街137號3樓,(02)25156222
14,社會福利服務中心,大同社會福利服務中心,臺北市大同區昌吉街57號6樓,(02)25974452
15,社會福利服務中心,中正社會福利服務中心,臺北市中正區延平南路207號6樓,(02)23962340
16,社會福利服務中心,萬華社會福利服務中心,臺北市萬華區萬大路22號4樓,(02)23365700
17,社會福利服務中心,大安社會福利服務中心,臺北市大安區四維路198巷30弄5號2樓之9,(02)27030523
18,社會福利服務中心,文山社會福利服務中心,臺北市文山區興隆路二段160號6樓,(02)29323587
19,社會福利服務中心,松山社會福利服務中心,臺北市松山區民生東路五段163-1號9樓,(02)27565018
20,社會福利服務中心,信義社會福利服務中心,臺北市信義區大道路116號5樓之2,(02)27616515
21,社會福利服務中心,內湖社會福利服務中心,臺北市內湖區星雲街161巷3號4樓,(02)27928701
22,社會福利服務中心,南港社會福利服務中心,臺北市南港區市民大道八段367號3樓,(02)27831407
23,社會福利服務中心,士林社會福利服務中心,臺北市士林區基河路140號1樓,(02)28350247
24,社會福利服務中心,北投社會福利服務中心,臺北市北投區新市街30號5樓,(02)28945933
