序號,機構名稱,郵遞區號,地址,電話
1,國立台灣大學醫學院附設醫院,100,台北市中正區中山南路7號,02 2312 3456
2,紹毅內兒科診所,100,台北市中正區八德路一段52號,02 2393 0791
3,柏安診所,100,台北市中山區長安東路二段88號10樓,(02)2501-9010
4,家禾診所,100,台北市中正區三元街217號,02 2333 1368
6,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,100,台北市中正區永綏街8號,?02 2311 1525
7,臺北市立聯合醫院,103,臺北市鄭州路145號,(02)2552-3234
8,和泰內科診所,103,台北市大同區南京西路406號8樓,02 2559 0575
9,佑佳內科診所,103,台北市大同區承德路二段142號一樓,02 2557 5687
10,喜聖診所,103,台北市大同區長安西路235號,?02 2559 5078
11,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,104,台北市中山區中山北路二段92號,?02 2543 3535
12,宏林診所,104,台北市中山區民生西路6號,02 2561 8979
13,柏安診所,104,台北市中山區長安東路二段88號10樓,02 2501 9010
14,元林診所,104,台北市中山區吉林路239號3 樓,?02 2542 2508
15,怡仁診所,104,台北市中山區中山北路一段82號5樓,02 2581 5656
16,祐腎內科診所,105,台北市松山區南京東路四段50號,02 2570 2368
17,安禾聯合診所,105,台北市松山區民權東路三段178號3樓,02 2713 7889
18,安德聯合診所,105,台北市松山區八德路三段34號4樓,02 2570 5886
19,博仁綜合醫院,105,台北市松山區光復北路66號,02 2578 6677
20,基督復臨安息日會醫療財團法人臺安醫院,106,台北市大安區敦化南路二段76號11樓,02 2706 6575
21,長庚醫療財團法人台北長庚紀念醫院,105,台北市松山區南京東路三段337號,02 2713 5211
22,三軍總醫院松山分院附設民眾診療服務處,105,台北市松山區健康路131號,?02 2764 2151
23,信德診所,106,台北市大安區敦化南路1段362號5樓,?02 2701 9055
24,杏保醫網信康診所,106,台北市大安區敦化南路二段335號1樓,02 2377 1363
25,國立臺灣大學醫學院附設醫院癌醫中心分院,106,台北市大安區基隆路三段155巷57號1樓,02 2322 0322
26,中山醫療社團法人中山醫院,106,台北市大安區仁愛路四段112巷11號,02 2708 1166
27,國泰醫療財團法人國泰綜合醫院,106,台北市大安區仁愛路四段280號,02 2708 2121
28,中心診所醫療財團法人中心綜合醫院,106,台北市大安區忠孝東路四段77號,?02-2751-0221
29,宏恩醫療財團法人宏恩綜合醫院,106,台北市大安區仁愛路四段61號,02 2771 3161
30,秀傳醫院,106,台北市大安區光復南路116巷1號,02 2771 7172
31,羅斯福診所,106,台北市大安區羅斯福路三段253號2樓,02 2369 4964
32,皇家診所,106,台北市大安區羅斯福路三段227號10樓,?02 2369 1450
33,杏心診所,106,金山南路二段218號5樓,02-23278799
34,安仁診所,106,台北市大安區安和路一段29號6 樓,?02 8773 3676
35,信禾診所,106,台北市大安區信義路四段281號2樓,02 2703 5758
36,櫟安診所,106,台北市大安區金山南路二段200號11樓,02 2358 2138
37,萬澤內科診所,108,"台北市萬華區萬大路425-1號2, 3, 4樓",02 2339 7018
38,佳德內科診所,108,台北市萬華區西園路一段200號2樓,02 2302 2276
39,台北透析診所,108,台北市萬華區西園路一段200號3 樓,?02 2338 2398
40,國立臺灣大學醫學院附設醫院北護分院,108,台北市萬華區內江街87號,02 2371 7101
41,西園醫療社團法人西園醫院,108,台北市萬華區西園路二段270號,02 2307 6968
42,同仁院醫療財團法人萬華醫院,108,台北市萬華區中華路2段606巷6號,02-23059292
43,松禾診所,110,台北市信義區松山路130號3樓,02 2766 6738
44,臺北醫學大學附設醫院,110,台北市信義區吳興街252號,02 2737 2181
45,佳康內科診所,110,台北市信義區基隆路二段109號8樓,02 2738 4770
46,禾旭診所,111,台北市士林區大南路323-1號12樓,02 2882 9797
47,新光醫療財團法人新光吳火獅紀念醫院,111,台北市士林區文昌路95號,02 2833 2211
48,福林診所,111,台北市士林區中山北路五段685號,02 2831 4083
49,百齡診所,111,台北市士林區重慶北路四段187號,?02 2811 3113
50,凱硯診所,111,台北市士林區中山北路七段108號,02 2876 2828
51,怡德診所,111,台北市士林區文林路342號,02 2883 8099
52,文林診所,112,台北市北投區裕民六路120號2樓,02 28273690?
53,承新診所,112,台灣北投區北投路二段11號,02 2893 9833
54,華榮診所,112,台北市北投區承德路七段90號,02 2828 7070
55,弘德診所,112,台北市北投區雙全街66號1樓,02 2893 1816
56,崇德診所,112,台灣北投區承德路七段310號,02 2823 7682
57,晟幸診所,112,台北市北投區石牌路一段71巷9弄19號,?02 2826 1661
58,和新診所,112,台北市北投區中央北路一段2號9樓,02 2897 0111
59,臺北榮民總醫院,112,台北市北投區石牌路二段201號,?02 2871 2121
60,臺北市立關渡醫院─委託臺北榮民總醫院經營,112,台北市北投區知行路225巷12號,02 2858 7000
61,振興醫療財團法人振興醫院,112,台北市北投區振興街45號,02 2826 4400
62,醫療財團法人辜公亮基金會和信治癌中心醫院,112,台北市北投區立德路125號,02 2897 0011
63,國泰醫療財團法人內湖國泰診所,114,台北市內湖區瑞光路337號,02 8797 2121
64,康寧醫療財團法人康寧醫院,114,台北市內湖區成功路五段420巷26號,02 2634 5500
65,中國醫藥大學附設醫院臺北分院,114,台北市內湖區內湖路二段360號,02 2791 9696
66,東成診所,114,台北市內湖區民權東路六段495號2號樓之1,02 2631 6850
67,洪永祥診所,114,台北市內湖區成功路三段6巷1號,02 8791 7601
68,全心圓診所,114,台北市內湖區瑞光路26巷36弄2號,02 2790 9966
69,心力合診所,114,台北市內湖區民權東路六段167號,?02 2791 3169
70,全新圓診所,114,臺北市 內湖區 台北市內湖區瑞光路26巷36弄2號2樓、2之1號2樓,02-27906100
71,三軍總醫院附設民眾診療服務處,115,台北市松山區健康路131號,02 2764 2151
72,多田診所,115,台北市南港區忠孝東路六段6號2號樓之1,02 2654 6389
73,康禾診所,115,台北市南港區忠孝東路七段551號,02 2785 5629
74,景安診所,116,台北市文山區羅斯福路六段136號2樓,02 2933 0551
75,慶如診所,116,台北市文山區萬慶街18號2樓,?02 2933 7058
76,欣成診所,116,台北市文山區辛亥路四段128-1號3樓,02 8935 1237
77,臺北市立萬芳醫院-委託臺北醫學大學辦理,116,台北市文山區興隆路三段111號,
